v_x,v_y,yaw_rate(psi_dot),pitch(theta),roll(phi),steering(delta)
1.383842445,-0.037709833,-9.26375,-0.620078623,1.058807969,-0.276100917
1.349155459,-0.032049757,-9.2125,-0.632745862,1.102723718,-0.216926606
1.329796377,-0.027200041,-8.74,-0.638233244,1.151314378,-0.216926606
1.311557062,-0.018555985,-8.025,-0.640560269,1.177868843,-0.216926606
1.319232808,-0.024680413,-7.8175,-0.709890664,1.193004727,-0.206926606
1.296468077,-0.008199057,-7.05875,-0.713029385,1.254563689,-0.206926606
1.272335897,-0.005697211,-6.785,-0.740375578,1.33598876,-0.105183486
1.25032536,0.003732088,-6.26625,-0.746389985,1.404238582,-0.058899083
1.21749009,0.011140933,-5.63125,-0.754808664,1.444664717,-0.051284404
1.224032857,-0.013777411,-5.365,-0.827713907,1.406758547,-0.051284404
1.202826818,-0.008749898,-4.95,-0.817718983,1.443240285,-0.033394495
1.184812303,0.000403753,-4.40375,-0.807225406,1.456301093,-0.020917431
1.163212862,0.00555381,-4.06875,-0.785627127,1.475035429,-0.019311927
1.139480777,0.015278404,-3.525,-0.78489393,1.525357127,-0.019311927
1.119356029,0.02501368,-3.0675,-0.783556104,1.57716608,-0.016422018
1.153841155,-0.016474016,-2.83875,-0.809049249,1.533049107,-0.016422018
1.133320597,-0.00745357,-2.31875,-0.815480769,1.530225277,-0.016422018
1.129677113,0.000849961,-1.985,-0.808077455,1.517018795,-0.016422018
1.122588223,0.007413506,-1.68125,-0.783536613,1.527017474,-0.016422018
1.139386568,-0.012016536,-1.4625,-0.818676233,1.522737861,-0.016422018
1.136957452,-0.007101703,-1.16125,-0.783598602,1.581960917,-0.016422018
1.135155204,-0.005113414,-0.855,-0.796191633,1.608204246,-0.016422018
1.130780109,0.001243878,-0.68875,-0.774253428,1.60829401,-0.035458716
1.137491791,0.009019154,-0.615,-0.789146841,1.582629561,-0.07
1.157871563,-0.022530892,-0.95875,-0.825638771,1.494807243,-0.098256881
1.162389707,-0.013709706,-1.26375,-0.816602767,1.487510085,-0.101697248
1.158794311,-0.005916244,-1.50875,-0.808687985,1.503929734,-0.101697248
1.160140513,-0.004121796,-1.90375,-0.781519234,1.531949282,-0.101697248
1.156724571,0.002955356,-2.145,-0.793450594,1.556213021,-0.101697248
1.190749975,-0.02407251,-2.61,-0.85670954,1.544354081,-0.101697248
1.199645737,-0.020318646,-2.8175,-0.884477854,1.592961311,-0.101697248
1.206575583,-0.0148437,-2.73875,-0.878954947,1.614125967,-0.101697248
1.217512426,-0.012275579,-2.86625,-0.89160639,1.618330836,-0.101697248
1.215809569,-0.004953125,-2.95875,-0.885327816,1.648519278,-0.105183486
1.25633557,-0.016069936,-2.75875,-0.954261601,1.647522688,-0.105183486
1.252232416,-0.018836351,-3.08875,-0.967729986,1.677610278,-0.105183486
1.257398374,-0.015795939,-3.08875,-0.981181145,1.677718759,-0.105183486
1.252868562,-0.007968116,-2.9875,-1.010787606,1.657950759,-0.105183486
1.258163942,-0.009650536,-3.16,-1.017619252,1.63062799,-0.105183486
1.288809281,-0.022621169,-3.1075,-1.073940992,1.588867545,-0.116055046
1.297727458,-0.016650674,-3.10375,-1.073514223,1.612887263,-0.116055046
1.311232689,-0.019221164,-3.555,-1.076823115,1.61469686,-0.119770642
1.323756175,-0.018020501,-3.63375,-1.088567257,1.598795414,-0.119770642
1.352527441,-0.006824428,-3.735,-1.112384439,1.597375035,-0.119770642
1.40741249,-0.038020744,-3.91125,-1.171903253,1.543904305,-0.119770642
1.441492211,-0.03464076,-3.84,-1.193234205,1.546764493,-0.119770642
1.473043491,-0.024546962,-4.0225,-1.186418891,1.578910828,-0.119770642
1.50929267,-0.016606322,-4.06625,-1.192220211,1.657046199,-0.119770642
1.542888913,-0.015558693,-4.25125,-1.191147447,1.731594324,-0.119770642
1.574961229,-0.013596458,-4.405,-1.212607861,1.769711256,-0.119770642
1.636735972,-0.03355967,-4.45625,-1.289420366,1.734555006,-0.119770642
1.669774769,-0.029510536,-4.62375,-1.280703306,1.724896789,-0.119770642
1.696609934,-0.022400209,-4.62,-1.310811281,1.740020275,-0.119770642
1.720272839,-0.016570846,-4.685,-1.301160216,1.754329324,-0.119770642
1.738992444,-0.015709684,-4.89125,-1.325625658,1.770315289,-0.119770642
1.787018271,-0.032979093,-4.82,-1.393026948,1.729736328,-0.119770642
1.814980449,-0.026834257,-4.9225,-1.391496778,1.748412371,-0.119770642
1.856296628,-0.023730079,-5.1075,-1.425247312,1.753680825,-0.119770642
1.893109575,-0.017933733,-5.1625,-1.425606728,1.768412352,-0.088302752
1.935386274,-0.017433793,-5.3825,-1.424327374,1.75413692,-0.07
1.97577227,-0.00524702,-4.65,-1.437303543,1.75132978,-0.02766055
2.008861465,-0.002505879,-4.19375,-1.423726082,1.718904376,-9.17E-05
2.028074646,0.004262127,-3.78625,-1.469223022,1.6849612,-9.17E-05
2.046944772,0.013280582,-3.29125,-1.453447342,1.682525158,-9.17E-05
2.05135906,0.023178757,-2.77375,-1.475237131,1.702658415,-9.17E-05
2.070363009,0.036646224,-2.34125,-1.459968567,1.754013062,-9.17E-05
2.087137608,0.038873067,-1.67125,-1.409029245,1.806754589,-9.17E-05
2.125511289,0.052294276,-1.12,-1.371360898,1.858978748,0.123577982
2.155482206,0.051706505,-0.695,-1.322540641,1.897768736,0.131422018
2.25147595,0.015157965,0.26,-1.346448302,1.785280347,0.135321101
2.289738546,0.022984593,0.75625,-1.302045465,1.754572511,0.135321101
2.317334337,0.029712419,1.68625,-1.275914431,1.752361536,0.135321101
2.32606019,0.04124116,2.57875,-1.337310672,1.749228239,0.135321101
2.339840451,0.05083926,3.035,-1.311744571,1.776043773,0.003119266
2.329216441,0.054475471,3.22625,-1.326404572,1.793055415,-9.17E-05
2.328753591,0.048037514,2.14125,-1.287262559,1.763464689,0.008990826
2.322996125,0.066015243,2.07,-1.253179669,1.691385746,0.029495413
2.337697289,0.059005974,1.30375,-1.227163911,1.623447418,0.116055046
